"DOI","publisher.x","type.x","created.x","created_year.x","relation_type.x","relation_DOI","asserted_by_object.x","asserted_by_subject.x","publisher.y","type.y","created.y","created_year.y","relation_type.y","asserted_by_object.y","asserted_by_subject.y","reciprocal"
"10.20944/preprints201807.0380.v1","MDPI AG","posted-content",2018-07-23,2018,"is-preprint-of","10.3390/s18092948",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201807.0392.v1","MDPI AG","posted-content",2018-07-23,2018,"is-preprint-of","10.3390/nano8090668",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.31234/osf.io/5frzb","Center for Open Science","posted-content",2018-07-23,2018,"is-preprint-of","10.1016/j.intell.2019.101386",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.2196/preprints.11659","JMIR Publications Inc.","posted-content",2018-07-24,2018,"is-preprint-of","10.2196/biomedeng.11659",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.31235/osf.io/89xbp","Center for Open Science","posted-content",2018-07-24,2018,"is-preprint-of","10.22148/16.013",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.2196/preprints.9374","JMIR Publications Inc.","posted-content",2017-11-12,2017,"is-preprint-of","10.2196/resprot.9374",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.31230/osf.io/k45jv","Center for Open Science","posted-content",2018-07-24,2018,"is-preprint-of","10.5670/oceanog.2018.207",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.2196/preprints.11644","JMIR Publications Inc.","posted-content",2018-07-26,2018,"is-preprint-of","10.2196/mhealth.11644",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.2196/preprints.9416","JMIR Publications Inc.","posted-content",2017-11-14,2017,"is-preprint-of","10.2196/resprot.9416",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.31227/osf.io/8czqb","Center for Open Science","posted-content",2018-07-28,2018,"is-preprint-of","10.17605/osf.io/tcnd3",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.2196/preprints.11718","JMIR Publications Inc.","posted-content",2018-07-28,2018,"is-preprint-of","10.2196/resprot.11718",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.2196/preprints.11638","JMIR Publications Inc.","posted-content",2018-07-28,2018,"is-preprint-of","10.2196/mhealth.11638",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
